"","Time","Latitude","Longitud","Wind","Pressure","CO2","Population"
"21869",1800,22,-63.2,55,997,5786.141,2536431104
"21870",0,22.7,-63.8,60,995,5786.141,2536431104
"21872",1200,23.4,-65.4,60,995,5786.141,2536431104
"21873",1800,23.9,-66,65,989,5786.141,2536431104
"21876",1200,25.2,-66.8,70,987,5786.141,2536431104
"21880",1200,25.5,-69.3,80,980,5786.141,2536431104
"21884",1200,25.5,-72.6,100,962,5786.141,2536431104
"21888",1200,27.9,-74.9,100,958,5786.141,2536431104
"21892",1200,30.7,-75.5,105,953,5786.141,2536431104
"21925",1200,16.9,-60.6,70,990,5786.141,2536431104
"21926",1800,17,-61,75,987,5786.141,2536431104
"21930",1800,16.8,-62.9,45,1003,5786.141,2536431104
"21950",1800,22.4,-85.3,55,996,5786.141,2536431104
"21953",1200,23,-87.2,55,998,5786.141,2536431104
"21954",1800,23.2,-87.5,55,996,5786.141,2536431104
"21963",0,29.4,-88.2,75,979,5786.141,2536431104
"21964",300,30.2,-88,75,979,5786.141,2536431104
"22005",1200,29.5,-57.5,85,974,5786.141,2536431104
"22022",1800,34.3,-61.4,75,980,5786.141,2536431104
"22037",1200,16.2,-59.2,110,953,5786.141,2536431104
"22045",1200,19.5,-64.3,100,962,5786.141,2536431104
"22066",1800,30.4,-67.4,85,972,5786.141,2536431104
"22074",1800,30.5,-69.3,65,987,5786.141,2536431104
"22077",1200,31,-71,65,986,5786.141,2536431104
"22078",1800,32,-71.5,65,986,5786.141,2536431104
"22079",0,33.3,-72.1,75,982,5786.141,2536431104
"22080",600,34.9,-72.2,80,978,5786.141,2536431104
"22081",1200,36.4,-71.9,85,974,5786.141,2536431104
"22082",1800,37.9,-71.4,85,972,5786.141,2536431104
"22085",1200,40.4,-66.9,70,979,5786.141,2536431104
"22108",1200,20.7,-83.3,55,996,5786.141,2536431104
"22109",1800,20.9,-83.2,55,995,5786.141,2536431104
"22114",1200,23.8,-82.3,75,980,5786.141,2536431104
"22115",1800,24.9,-82.6,75,980,5786.141,2536431104
"22118",1200,27.7,-83.5,85,973,5786.141,2536431104
"22119",1800,28,-83.8,85,973,5786.141,2536431104
"22123",1700,29.1,-82.8,105,960,5786.141,2536431104
"22124",1800,29.1,-82.8,105,960,5786.141,2536431104
"22152",1800,17.9,-48.8,55,995,5786.141,2536431104
"22156",1800,19.6,-51.2,75,986,5786.141,2536431104
"22160",1800,22.3,-54.2,85,977,5786.141,2536431104
"22171",1200,28.2,-59.7,120,946,5786.141,2536431104
"22198",1800,29.8,-64.5,70,978,5786.141,2536431104
"22205",1200,31.9,-67.5,90,969,5786.141,2536431104
"22209",1200,37.3,-65.7,95,960,5786.141,2536431104
"22239",0,22.4,-92.2,45,1002,5786.141,2536431104
"22243",0,20.5,-94.3,75,990,5786.141,2536431104
"22246",1800,19.4,-95.4,90,980,5786.141,2536431104
"22289",1800,17.7,-80,55,992,5786.141,2536431104
"22292",1200,19.3,-78.7,75,985,5786.141,2536431104
"22297",1200,23.2,-79,70,988,5786.141,2536431104
"22300",500,25.7,-80.2,115,955,5786.141,2536431104
"22301",600,25.9,-80.3,115,955,5786.141,2536431104
"22302",1200,27.1,-81,80,975,5786.141,2536431104
"22303",1800,28.6,-81.5,70,983,5786.141,2536431104
"22304",0,30,-82.4,65,989,5786.141,2536431104
"22305",600,31.1,-83.5,45,992,5786.141,2536431104
"22306",1200,31.7,-84.5,35,996,5786.141,2536431104
"22307",1800,32.1,-85.3,25,999,5786.141,2536431104
"22308",0,32.5,-86,20,1000,5786.141,2536431104
"22309",600,32.9,-86.5,20,1002,5786.141,2536431104
"22347",1200,26,-91.6,60,990,5786.141,2536431104
"22348",1800,25.6,-91,65,990,5786.141,2536431104
"22349",0,25.4,-89.6,70,987,5786.141,2536431104
"22352",1800,26.4,-86.5,70,991,5786.141,2536431104
"22444",1800,27.5,-78.9,70,983,6226.396,2584034048
"22447",1200,27,-77.9,75,982,6226.396,2584034048
"22448",1800,27.2,-77.5,70,985,6226.396,2584034048
"22451",1200,28.1,-76.6,75,982,6226.396,2584034048
"22453",0,29.5,-76,75,980,6226.396,2584034048
"22456",1800,32.4,-75.2,75,979,6226.396,2584034048
"22459",1200,35.6,-74.2,75,978,6226.396,2584034048
"22460",1800,36.1,-73.8,75,976,6226.396,2584034048
"22463",1200,36.6,-71.1,80,973,6226.396,2584034048
"22467",1200,37.3,-65,75,984,6226.396,2584034048
"22472",1800,40.5,-58.7,35,994,6226.396,2584034048
"22482",1200,31.9,-60.8,45,999,6226.396,2584034048
"22487",1800,40.6,-56.1,50,996,6226.396,2584034048
"22502",1200,14.4,-58.9,55,999,6226.396,2584034048
"22506",1200,15.9,-66.7,65,992,6226.396,2584034048
"22510",1200,16.6,-73.1,85,978,6226.396,2584034048
"22511",1800,17.1,-74.6,95,971,6226.396,2584034048
"22517",0,18.9,-82.2,80,982,6226.396,2584034048
"22519",1200,19.4,-84.5,85,976,6226.396,2584034048
"22527",0,21.6,-91.6,65,989,6226.396,2584034048
"22530",1800,21.6,-94.3,65,988,6226.396,2584034048
"22531",0,21.7,-94.9,70,982,6226.396,2584034048
"22533",1200,22.1,-96.6,85,972,6226.396,2584034048
"22534",1800,22.2,-97.5,100,968,6226.396,2584034048
"22535",1900,22.3,-97.8,100,968,6226.396,2584034048
"22567",0,14.3,-64.3,70,992,6226.396,2584034048
"22570",1800,14.8,-69.4,70,993,6226.396,2584034048
"22573",1200,15.1,-74.2,45,1004,6226.396,2584034048
"22599",1200,22.3,-60.6,90,967,6226.396,2584034048
"22600",1800,22.6,-61.9,100,957,6226.396,2584034048
"22604",1800,25.4,-66.9,125,937,6226.396,2584034048
"22672",1800,20.8,-95.2,50,999,6226.396,2584034048
